Βίβλος	[The] book
τὰ	-
πρὸς	for
εἰρήνην.	peace.
Οὕτως	So
οὖν	therefore
πᾶς	every one
ἐξ	of
ὑμῶν	you
ὃς	who
οὐκ	not
ἀποτάσσεται	does give up
πᾶσιν	all
τοῖς	that
ἑαυτοῦ	he himself
ὑπάρχουσιν	possesses,
οὐ	not
δύναται	is able
εἶναί	to be
μου	My
μαθητής.	disciple.
οὖν	therefore
τὸ	the
ἅλας·	salt;
Καλὸν	Good [is]
δὲ	however
ἐὰν	if
τὸ	the
ἅλας	salt
καὶ	even
μωρανθῇ,	becomes tasteless,
ἐν	with
τίνι	what
ἀρτυθήσεται;	will it be seasoned?
ἐστιν·	is it;
εὔθετόν	fit
οὔτε	Neither
εἰς	for
γῆν	soil
οὔτε	nor
εἰς	for
κοπρίαν	manure
αὐτό.	it.
βάλλουσιν	they cast
ἔξω	out
Ὁ	The [one]
ἔχων	having
ὦτα	ears
ἀκούειν	to hear,
ἀκουέτω.	let him hear.
δὲ	now
πάντες	all
οἱ	the
τελῶναι	tax collectors
καὶ	and
οἱ	the
ἁμαρτωλοὶ	sinners
Ἦσαν	Were
ἐγγίζοντες	drawing near
αὐτῷ	to Him
ἀκούειν	to hear
αὐτοῦ.	Him.
καὶ	And
τε	both
οἵ	the
Φαρισαῖοι	Pharisees
καὶ	and
οἱ	the
γραμματεῖς	scribes,
διεγόγγυζον	were grumbling
λέγοντες	saying
ὅτι	-,
“Οὗτος	This [man]
προσδέχεται	receives
ἁμαρτωλοὺς	sinners
καὶ	and
συνεσθίει	eats with
αὐτοῖς.	them.
δὲ	then
Εἶπεν	He spoke
πρὸς	to
αὐτοὺς	them
ταύτην	this,
τὴν	the
παραβολὴν	parable
λέγων	saying,
“Τίς	What
ἄνθρωπος	man
ἐξ	of
ὑμῶν	you,
ἔχων	having
ἑκατὸν	a hundred
πρόβατα	sheep,
καὶ	and
ἀπολέσας	having lost
ἓν	one,
ἐξ	of
αὐτῶν	them
οὐ	not
καταλείπει	leaves
τὰ	the
ἐνενήκοντα	ninety
ἐννέα	nine
ἐν	in
τῇ	the
ἐρήμῳ	open field,
καὶ	and
πορεύεται	goes
ἐπὶ	after
τὸ	the [one]
ἀπολωλὸς	having been lost,
ἕως	until
εὕρῃ	he finds
αὐτό;	it?
καὶ	And
εὑρὼν	having found [it],
ἐπιτίθησιν	he lays [it]
χαίρων,	rejoicing.
ἐπὶ	on
αὐτοῦ	of him,
τοὺς	the
ὤμους	shoulders
καὶ	And
ἐλθὼν	having come
εἰς	to
τὸν	the
οἶκον	house,
συνκαλεῖ	he calls together
τοὺς	the
φίλους	friends
καὶ	and
τοὺς	the
γείτονας,	neighbors,
λέγων	saying
αὐτοῖς	to them,
‘Συνχάρητέ	Rejoice with
μοι,	me,
ὅτι	for
εὗρον	I have found
μου	of me,
τὸ	the [one]
ἀπολωλός.	having been lost!
τὸ	the
πρόβατόν	sheep
οὕτως	in the same way
λέγω	I say
ὑμῖν	to you
ὅτι	that
ἔσται	there will be
χαρὰ	joy
ἐν	in
τῷ	-
οὐρανῷ	heaven
ἐπὶ	over
ἑνὶ	one
ἁμαρτωλῷ	sinner
μετανοοῦντι	repenting,
ἢ	rather than
ἐπὶ	over
ἐνενήκοντα	ninety
ἐννέα	nine
δικαίοις	righteous ones,
οἵτινες	who
ἔχουσιν	have
οὐ	no
χρείαν	need
μετανοίας.	of repentance.
Ἢ	Or
τίς	what
γυνὴ	woman,
ἔχουσα	having
δέκα,	ten,
δραχμὰς	drachmas
ἐὰν	if
ἀπολέσῃ	she should lose
μίαν,	one,
δραχμὴν	drachma
οὐχὶ	not
ἅπτει	lights
λύχνον	a lamp
καὶ	and
σαροῖ	sweeps
τὴν	the
οἰκίαν	house,
καὶ	and
ζητεῖ	seeks
ἐπιμελῶς	carefully
ἕως	until
εὕρῃ;	she finds?
οὗ	it
καὶ	And
εὑροῦσα	having found [it],
συνκαλεῖ	she calls together
τὰς	the
φίλας	friends
καὶ	and
γείτονας	neighbors,
λέγουσα	saying,
‘Συνχάρητέ	Rejoice with
μοι,	me,
ὅτι	for
εὗρον	I have found
τὴν	the
ἣν	that
ἀπώλεσα.	I lost.
δραχμὴν	drachma
οὕτως,	Thus
λέγω	I say
ὑμῖν,	to you,
γίνεται	there is
χαρὰ	joy
ἐνώπιον	before
τοῦ	-
Θεοῦ	of God
τῶν	the
ἀγγέλων	angels
ἐπὶ	over
ἑνὶ	one
ἁμαρτωλῷ	sinner
μετανοοῦντι.	repenting.
δέ	then,
Εἶπεν	He said
τις	certain
“Ἄνθρωπός	A man
εἶχεν	had
δύο	two
υἱούς.	sons.
καὶ	And
ὁ	the
νεώτερος	younger
αὐτῶν	of them
εἶπεν	said
τῷ	to
πατρί	[the] father,
‘Πάτερ,	Father,
δός	give
μοι	to me
τὸ	the
ἐπιβάλλον	falling [to me]
μέρος	portion
τῆς	of the
οὐσίας.	property.
δὲ	And
ὁ	-
διεῖλεν	he divided
τὸν	the
βίον.	property.
αὐτοῖς	between them
Καὶ	And
μετ’	after
οὐ	not
πολλὰς	many
ἡμέρας	days,
ὁ	the
νεώτερος	younger
υἱὸς	son
συναγαγὼν	having gathered together
πάντα	all,
ἀπεδήμησεν	went away
εἰς	into
μακράν,	distant,
χώραν	a country
καὶ	and
ἐκεῖ	there
διεσκόρπισεν	he wasted
αὐτοῦ	of him,
τὴν	the
οὐσίαν	estate
ἀσώτως.	prodigally.
ζῶν	living
δὲ	however
αὐτοῦ	of him
Δαπανήσαντος	Having spent
πάντα	all,
ἰσχυρὰ	severe
λιμὸς	a famine
ἐγένετο	there arose
κατὰ	throughout
ἐκείνην,	that,
τὴν	the
χώραν	country
καὶ	and
αὐτὸς	he
ἤρξατο	began
ὑστερεῖσθαι.	to be in need.
καὶ	And
πορευθεὶς	having gone,
ἐκολλήθη	he joined himself
ἑνὶ	to one
τῶν	of the
πολιτῶν	citizens
ἐκείνης,	of that,
τῆς	the
χώρας	country
καὶ	and
ἔπεμψεν	he sent
αὐτὸν	him
εἰς	into
αὐτοῦ	of him
τοὺς	the
ἀγροὺς	fields
βόσκειν	to feed
χοίρους·	pigs.
καὶ	And
ἐπεθύμει	he was longing
γεμίσαι	to fill
αὐτοῦ	of him
τὴν	the
κοιλίαν	belly
ἐκ	from
τῶν	the
κερατίων	pods
ὧν	that
οἱ	the
χοῖροι,	pigs;
ἤσθιον	were eating
καὶ	and
οὐδεὶς	no one
ἐδίδου	was giving
αὐτῷ.	to him.
δὲ	however
ἐλθὼν	having come,
Εἰς	To
ἑαυτὸν	himself
ἔφη	he was saying,
‘Πόσοι	How many
τοῦ	of the
μου	of me
πατρός	father
μίσθιοι	hired servants
περισσεύονται	have abundance
ἄρτων,	of bread,
δὲ	however
ὧδε	here
ἐγὼ	I
λιμῷ	with hunger
ἀπόλλυμαι.	am perishing?
ἀναστὰς	Having risen up,
πορεύσομαι	I will go
πρὸς	to
μου	of me,
τὸν	the
πατέρα	father
καὶ	and
ἐρῶ	I will say
αὐτῷ	to him,
“Πάτερ,	Father,
ἥμαρτον	I have sinned
εἰς	against
τὸν	-
οὐρανὸν	heaven
καὶ	and
ἐνώπιόν	before
σου,	you;
εἰμὶ	am I
οὐκέτι	no longer
ἄξιος	worthy
κληθῆναι	to be called
σου·	of you.
υἱός	son
ποίησόν	Make
με	me
ὡς	like
ἕνα	one
τῶν	of the
σου.	of you.
μισθίων	servants
Καὶ	And
ἀναστὰς	having risen up,
ἦλθεν	he went
πρὸς	to
ἑαυτοῦ.	of himself.
τὸν	the
πατέρα	father
δὲ	now
αὐτοῦ	he
ἔτι	Still
μακρὰν	far
ἀπέχοντος	being distant,
αὐτοῦ	of him,
ὁ	the
πατὴρ	father
εἶδεν	saw
αὐτὸν	him
καὶ	and
ἐσπλαγχνίσθη,	was moved with compassion,
καὶ	and
δραμὼν	having run,
ἐπέπεσεν	fell
ἐπὶ	upon
αὐτοῦ	of him
τὸν	the
τράχηλον	neck
καὶ	and
κατεφίλησεν	kissed
αὐτόν.	him.
δὲ	then
ὁ	the
υἱὸς	son
Εἶπεν	Said
αὐτῷ	to him,
‘Πάτερ,	Father,
ἥμαρτον	I have sinned
εἰς	against
τὸν	-
οὐρανὸν	heaven
καὶ	and
ἐνώπιόν	before
σου,	you;
εἰμὶ	am I
οὐκέτι	no longer
ἄξιος	worthy
κληθῆναι	to be called
σου.	of you.
υἱός	son
(ποίησόν	make
με	me
ὡς	as
ἕνα	one
τῶν	of the
σου)	of you
μισθίων	hired servants
δὲ	then
ὁ	the
πατὴρ	father
Εἶπεν	Said
πρὸς	to
αὐτοῦ	of him,
τοὺς	the
δούλους	servants
‘Ταχὺ	Quickly
ἐξενέγκατε	bring out
τὴν	the
πρώτην	best
στολὴν	robe
καὶ	and
ἐνδύσατε	clothe
αὐτόν,	him,
καὶ	and
δότε	give
δακτύλιον	a ring
εἰς	for
αὐτοῦ	of him,
τὴν	the
χεῖρα	hand
καὶ	and
ὑποδήματα	sandals
εἰς	for
τοὺς	his
πόδας,	feet;
καὶ	and
φέρετε	having brought
τὸν	the
τὸν	-
σιτευτόν,	fattened,
μόσχον	calf
θύσατε,	kill [it],
καὶ	and
φαγόντες	having eaten,
εὐφρανθῶμεν,	let us be merry.
ὅτι	For
οὗτος	this
ὁ	-
υἱός	son
μου	of mine
ἦν	was,
νεκρὸς	dead
καὶ	and
ἀνέζησεν,	is alive again;
ἦν	he was
ἀπολωλὼς	lost,
καὶ	and
εὑρέθη.	is found.
καὶ	And
ἤρξαντο	they began
εὐφραίνεσθαι.	to be merry.
δὲ	now
αὐτοῦ	of him,
ὁ	the
πρεσβύτερος	elder,
ὁ	the
υἱὸς	son
Ἦν	Was
ἐν	in
ἀγρῷ·	[the] field;
καὶ	and
ὡς	while
ἐρχόμενος	coming [up],
ἤγγισεν	he drew near
τῇ	to the
οἰκίᾳ,	house,
ἤκουσεν	he heard
συμφωνίας	music
καὶ	and
χορῶν,	dancing.
καὶ	And
προσκαλεσάμενος	having called near
ἕνα	one
τῶν	of the
παίδων	servants,
ἐπυνθάνετο	he began inquiring
τί	what
ἂν	-
ταῦτα.	these things.
εἴη	might be
σου	of you
‘Ὁ	The
ἀδελφός	brother
ἥκει,	is come,
δὲ	And
Ὁ	-
εἶπεν	he said
αὐτῷ	to him
ὅτι	-,
καὶ	and
σου	of you
ὁ	the
πατήρ	father
ἔθυσεν	has killed
τὸν	the
τὸν	-
σιτευτόν,	fattened,
μόσχον	calf
ὅτι	because
ἀπέλαβεν.	he has received.
αὐτὸν	him
ὑγιαίνοντα	in good health
δὲ	however,
Ὠργίσθη	He was angry
καὶ	and
οὐκ	not
ἤθελεν	was willing
εἰσελθεῖν·	to go in.
δὲ	And
αὐτοῦ	of him,
ὁ	-
πατὴρ	the father
ἐξελθὼν	having gone,
παρεκάλει	was begging
αὐτόν.	him.
δὲ	And
Ὁ	-
ἀποκριθεὶς	answering,
εἶπεν	he said
τῷ	to
‹αὐτοῦ›	of him,
πατρὶ	[the] father
‘Ἰδοὺ	Behold,
τοσαῦτα	so many
ἔτη	years
δουλεύω	I serve
σοι	you,
καὶ	and
οὐδέποτε	never
παρῆλθον,	I disobeyed,
ἐντολήν	a commandment
σου	of you
καὶ	and
οὐδέποτε	never
ἔδωκας	did you give
ἐμοὶ	to me
ἔριφον	a young goat,
ἵνα	that
εὐφρανθῶ·	I might make merry.
μετὰ	with
μου	of me
τῶν	the
φίλων	friends
δὲ	however
ὅτε	When
οὗτος	this,
ὁ	the
υἱός	son
σου	of you
ἦλθεν,	came,
ὁ	the [one]
καταφαγών	having devoured
σου	your
τὸν	-
βίον	living
μετὰ	with
πορνῶν	prostitutes,
ἔθυσας	you have killed
τὸν	the
σιτευτὸν	fattened
μόσχον.	calf!
αὐτῷ	for him
‘Τέκνον,	Son,
σὺ	you
εἶ,	are,
πάντοτε	always
μετ’	with
ἐμοῦ	me
δὲ	And
Ὁ	-
εἶπεν	he said
αὐτῷ	to him,
καὶ	and
πάντα	all
τὰ	that
ἐμὰ	[is] mine,
ἐστιν·	is.
σά	yours
δὲ	however
ἔδει,	it was fitting,
εὐφρανθῆναι	To make merry
καὶ	and
χαρῆναι	to rejoice
ὅτι	because
οὗτος	this,
ὁ	the
ἀδελφός	brother
σου	of you
ἦν	was,
νεκρὸς	dead
καὶ	and
ἔζησεν,	is alive again;
καὶ	and
ἀπολωλὼς	he was lost,
καὶ	and
εὑρέθη.	is found.
δὲ	now
καὶ	also
Ἔλεγεν	He was saying
πρὸς	to
τοὺς	the
μαθητάς	disciples,
ἦν	there was
τις	certain
πλούσιος	rich,
“Ἄνθρωπός	A man
ὃς	who
εἶχεν	had
οἰκονόμον,	a manager,
καὶ	and
διεβλήθη	was accused
αὐτῷ	unto him
ὡς	as
οὗτος	he
διασκορπίζων	is wasting
αὐτοῦ.	of him.
τὰ	the
ὑπάρχοντα	possessions
καὶ	And
φωνήσας	having called
αὐτὸν	him,
εἶπεν	he said
αὐτῷ	to him,
‘Τί	What [is]
τοῦτο	this
ἀκούω	I hear
περὶ	concerning
σοῦ;	you?
ἀπόδος	Give
τὸν	the
λόγον	account
τῆς	of the
σου·	of you;
οἰκονομίας	stewardship
γὰρ	for
δύνῃ	you are able
οὐ	not
οἰκονομεῖν.	to manage.
ἔτι	any longer
δὲ	then
ὁ	the
οἰκονόμος	manager,
Εἶπεν	Said
ἐν	within
ἑαυτῷ	himself
‘Τί	What
ποιήσω,	shall I do,
ὅτι	for
μου	of me
ὁ	the
κύριός	master
ἀφαιρεῖται	is taking away
ἀπ’	from
ἐμοῦ;	me?
τὴν	the
οἰκονομίαν	management
οὐκ	not
ἰσχύω,	I am able;
σκάπτειν	To dig
αἰσχύνομαι.	I am ashamed.
ἐπαιτεῖν	to beg
ἔγνων	I know
τί	what
ποιήσω,	I will do
ἵνα	so that
ὅταν	when
μετασταθῶ	I shall have been removed
ἐκ	from
τῆς	the
οἰκονομίας	management,
δέξωνταί	they might receive
με	me
εἰς	into
ἑαυτῶν.	of them.
τοὺς	the
οἴκους	homes
Καὶ	And
προσκαλεσάμενος	having called to [him]
ἕκαστον	each
ἕνα	one
ἑαυτοῦ	of him,
τοῦ	of the
κυρίου	master
τῶν	of the
χρεοφειλετῶν	debtors
‘Πόσον	How much
ὀφείλεις	owe you
τῷ	to
μου;	of me?
κυρίῳ	master
ἔλεγεν	he was saying
τῷ	to the
πρώτῳ	first,
‘Ἑκατὸν	A hundred
βάτους	baths
ἐλαίου.	of oil.
δὲ	And
Ὁ	-
εἶπεν	he said,
‘Δέξαι	Take
σου	your
τὰ	the
γράμματα	bill
δὲ	And
Ὁ	-
εἶπεν	he said
αὐτῷ	to him,
καὶ	and,
καθίσας	having sat down
ταχέως	quickly,
γράψον	write
πεντήκοντα.	fifty.
Ἔπειτα	Then
εἶπεν	he said,
ἑτέρῳ	to another
δὲ	now
πόσον	how much
‘Σὺ	You
ὀφείλεις;	owe?
‘Ἑκατὸν	A hundred
κόρους	cors
σίτου.	of wheat.
δὲ	And
Ὁ	-
εἶπεν	he said,
‘Δέξαι	Take
σου	your
τὰ	-
γράμματα	bill
καὶ	and
γράψον	write
ὀγδοήκοντα.	eighty.
Λέγει	He says
αὐτῷ	to him,
Καὶ	And
ὁ	the
κύριος	master
ἐπῄνεσεν	praised
τὸν	the
τῆς	-
ἀδικίας	unrighteous,
οἰκονόμον	manager
ὅτι	because
ἐποίησεν·	he had acted.
φρονίμως	shrewdly
ὅτι	For
οἱ	the
υἱοὶ	sons
τούτου	this
τοῦ	of the
αἰῶνος	age
εἰσιν.	are.
φρονιμώτεροι	more shrewd
εἰς	in
τὴν	-
ἑαυτῶν	of themselves
τὴν	the
γενεὰν	generation
ὑπὲρ	than
τοὺς	the
υἱοὺς	sons
τοῦ	of the
φωτὸς	light
Καὶ	And
ἐγὼ	I
λέγω,	say,
ὑμῖν	to you
ἐκ	by
τοῦ	the
τῆς	-
ἀδικίας,	of unrighteousness,
μαμωνᾶ	wealth
ποιήσατε	make
φίλους	friends
ἑαυτοῖς	for yourselves
ἵνα	that
ὅταν	when
ἐκλίπῃ	it fails
δέξωνται	they might receive
ὑμᾶς	you
εἰς	into
τὰς	the
αἰωνίους	eternal
σκηνάς.	dwellings.
Ὁ	The [one]
πιστὸς	faithful
ἐν	with
ἐλαχίστῳ	very little,
ἐστιν,	is;
καὶ	also
πιστός	faithful
ἐν	with
πολλῷ	much
καὶ	and
ὁ	the [one]
ἄδικος	unrighteous,
ἐν	with
ἐλαχίστῳ	very little
ἐστιν.	is.
καὶ	also
ἄδικός	unrighteous
ἐν	with
πολλῷ	much
εἰ	If
οὖν	therefore
οὐκ	not
ἐγένεσθε,	you have been,
πιστοὶ	faithful
ἐν	in
ἀδίκῳ	unrighteous
τῷ	the
μαμωνᾷ	wealth,
τίς	who
πιστεύσει;	will entrust?
ὑμῖν	to you
τὸ	the
ἀληθινὸν	true [riches]
καὶ	And
εἰ	if
οὐκ	not
ἐγένεσθε,	you have been,
πιστοὶ	faithful
ἐν	in
τῷ	that which [is]
ἀλλοτρίῳ	of another,
τίς	who
δώσει ⇔	will give
ὑμῖν;	to you?
τὸ	that which
ὑμέτερον*	[is] yours
Οὐδεὶς	No
οἰκέτης	servant
δύναται	is able
δουλεύειν·	to serve;
δυσὶ	two
κυρίοις	masters
γὰρ	for
ἢ	either
μισήσει	he will hate,
τὸν	the
ἕνα	one
καὶ	and
ἀγαπήσει,	he will love;
τὸν	the
ἕτερον	other
ἢ	or
ἀνθέξεται	he will be devoted to,
ἑνὸς	one
καὶ	and
καταφρονήσει.	he will despise.
τοῦ	the
ἑτέρου	other
οὐ	Not
δύνασθε	you are able
δουλεύειν	to serve
Θεῷ	God
καὶ	and
μαμωνᾷ.	money.
δὲ	now
οἱ	the
Φαρισαῖοι	Pharisees,
ὑπάρχοντες,	being,
φιλάργυροι	lovers of money
Ἤκουον	Were listening to
πάντα	all
ταῦτα	these things
καὶ	and
ἐξεμυκτήριζον	they were ridiculing
αὐτόν.	Him.
καὶ	And
εἶπεν	He said
αὐτοῖς	to them,
“Ὑμεῖς	You
ἐστε	are
οἱ	those
δικαιοῦντες	justifying
ἑαυτοὺς	themselves
ἐνώπιον	before
τῶν	-
ἀνθρώπων,	men,
δὲ	but
ὁ	-
Θεὸς	God
γινώσκει	knows
ὑμῶν·	of you;
τὰς	the
καρδίας	hearts
ὅτι	for
τὸ	that which
ὑψηλὸν	[is] exalted
ἐν	among
ἀνθρώποις	men
βδέλυγμα	[is] an abomination
ἐνώπιον	before
τοῦ	-
Θεοῦ.	God.
Ὁ	The
νόμος	law
καὶ	and
οἱ	the
προφῆται	prophets [were]
μέχρι	until
Ἰωάννου·	John;
ἀπὸ	from
τότε	that time
ἡ	the
βασιλεία	kingdom
τοῦ	-
Θεοῦ	of God
εὐαγγελίζεται	is proclaimed,
καὶ	and
πᾶς	everyone
βιάζεται.	forces his way.
εἰς	into
αὐτὴν	it
δέ	however
ἐστιν	it is
εὐκοπώτερον	Easier for
τὸν	the
οὐρανὸν	heaven
καὶ	and
τὴν	the
γῆν	earth
παρελθεῖν	to pass away,
ἢ	than
μίαν	one
κεραίαν	stroke of a pen
πεσεῖν.	to fail.
τοῦ	of the
νόμου	law
Πᾶς	Everyone
ὁ	-
ἀπολύων	putting away
αὐτοῦ	of him
τὴν	the
γυναῖκα	wife
καὶ	and
γαμῶν	marrying
ἑτέραν	another
μοιχεύει,	commits adultery.
καὶ	And
ὁ	the [one]
γαμῶν	marrying
ἀπολελυμένην	her put away
ἀπὸ	from
ἀνδρὸς	a husband
μοιχεύει.	commits adultery.
δέ	now
ἦν	there was
τις	certain
πλούσιος,	rich,
Ἄνθρωπος	A man
καὶ	and
ἐνεδιδύσκετο	he was clothed in
πορφύραν	purple
καὶ	and
βύσσον	fine linen,
εὐφραινόμενος	making good cheer
καθ’	every
ἡμέραν	day
λαμπρῶς.	in splendor.
δέ	now
τις	certain
πτωχὸς	A poor man
ὀνόματι	named
Λάζαρος	Lazarus
ἐβέβλητο	was laid
πρὸς	at
αὐτοῦ	of him,
τὸν	the
πυλῶνα	gate
εἱλκωμένος	being full of sores
καὶ	and
ἐπιθυμῶν	desiring
χορτασθῆναι	to be fed
ἀπὸ	from
τῶν	that
πιπτόντων	falling
ἀπὸ	from
τῆς	the
τοῦ	of the
πλουσίου·	rich man;
τραπέζης	table
ἀλλὰ	but
καὶ	even
οἱ	the
κύνες	dogs,
ἐρχόμενοι	coming,
ἐπέλειχον	were licking
αὐτοῦ.	of him.
τὰ	the
ἕλκη	sores
δὲ	then
Ἐγένετο	It came to pass that
τὸν	the
πτωχὸν	poor man,
ἀποθανεῖν	died
καὶ	and
αὐτὸν	he
ἀπενεχθῆναι	was carried away
ὑπὸ	by
τῶν	the
ἀγγέλων	angels
εἰς	into
τὸν	the
Ἀβραάμ·	of Abraham.
κόλπον	bosom
δὲ	then
ὁ	the
πλούσιος	rich man
καὶ	also
ἀπέθανεν	Died
καὶ	and
ἐτάφη.	was buried.
καὶ	And
ἐν	in
τῷ	-
ᾅδῃ	Hades,
ὑπάρχων	being
ἐν	in
βασάνοις,	torment,
ἐπάρας	having lifted up
αὐτοῦ,	of him,
τοὺς	the
ὀφθαλμοὺς	eyes
ὁρᾷ	he sees
Ἀβραὰμ	Abraham
ἀπὸ	from
μακρόθεν	afar,
καὶ	and
Λάζαρον	Lazarus
ἐν	in
αὐτοῦ.	of him.
τοῖς	the
κόλποις	bosom
Καὶ	And
αὐτὸς	he
φωνήσας	having cried out
εἶπεν	said,
‘Πάτερ	Father
Ἀβραάμ,	Abraham,
ἐλέησόν	have mercy on
με	me
καὶ	and
πέμψον	send
Λάζαρον	Lazarus,
ἵνα	that
βάψῃ	he might dip
τὸ	the
ἄκρον	tip
τοῦ	of the
αὐτοῦ	of him
δακτύλου	finger
ὕδατος	in water
καὶ	and
καταψύξῃ	cool
μου,	of me;
τὴν	the
γλῶσσάν	tongue
ὅτι	for
ὀδυνῶμαι	I am suffering
ἐν	in
ταύτῃ.	this.
τῇ	the
φλογὶ	flame
δὲ	then
Ἀβραάμ	Abraham,
Εἶπεν	Said
‘Τέκνον,	Child,
μνήσθητι	remember
ὅτι	that
ἐν	in
σου,	of you,
τῇ	the
ζωῇ	lifetime
ἀπέλαβες	you did fully receive
σου	of you
ἀγαθά	good
τὰ	the [things]
καὶ	and
Λάζαρος	Lazarus
ὁμοίως	likewise
τὰ	the [things]
κακά·	evil.
δὲ	however
νῦν	Now
παρακαλεῖται	he is comforted;
ὧδε	here
δὲ	now
σὺ	you
ὀδυνᾶσαι.	are suffering.
καὶ	And
ἐν	besides
πᾶσι	all
τούτοις	these things,
μέγα	great
χάσμα	a chasm
ἐστήρικται,	has been fixed,
μεταξὺ	between
ἡμῶν	us
καὶ	and
ὑμῶν	you
ὅπως	so that
οἱ	those
θέλοντες	desiring
μὴ	not
δύνωνται,	are able,
διαβῆναι	to pass
ἔνθεν	from here
πρὸς	to
ὑμᾶς	you
μηδὲ	nor
διαπερῶσιν.	can they pass.
ἐκεῖθεν	from there
πρὸς	to
ἡμᾶς	us
οὖν,	then,
‘Ἐρωτῶ	I implore
σε	you
πάτερ,	father,
δέ	then,
Εἶπεν	He said
ἵνα	that
πέμψῃς	you would send
αὐτὸν	him
εἰς	to
μου·	of me —
τοῦ	of the
πατρός	father
τὸν	the
οἶκον	house
γὰρ	for
ἔχω	I have
πέντε	five
ἀδελφούς·	brothers —
ὅπως	so that
διαμαρτύρηται	he might warn
αὐτοῖς,	them,
ἵνα	that
αὐτοὶ	they
μὴ	not
καὶ	also
ἔλθωσιν	might come
εἰς	to
τοῦτον	this
τὸν	the
τόπον	place
τῆς	-
βασάνου.	of torment.
δὲ	however
Ἀβραάμ	Abraham,
Λέγει	Says
‘Ἔχουσι	They have
Μωϋσέα	Moses
καὶ	and
τοὺς	the
προφήτας·	prophets;
ἀκουσάτωσαν	let them hear
αὐτῶν.	them.
‘Οὐχί,	No,
πάτερ	father
Ἀβραάμ,	Abraham,
δὲ	And
Ὁ	-
εἶπεν	he said,
ἀλλ’	but
ἐάν	if
τις	one
πορευθῇ	should go
πρὸς	to
αὐτοὺς,	them,
ἀπὸ	from
νεκρῶν	[the] dead
μετανοήσουσιν.	they will repent.
δὲ	however
Εἶπεν	He said
αὐτῷ	to him,
‘Εἰ	If
οὐκ	not
ἀκούουσιν,	they hear,
Μωϋσέως	Moses
καὶ	and
τῶν	the
προφητῶν	prophets
οὐδ’*	not even
πεισθήσονται.	will they be persuaded.
ἐάν	if
τις	one
ἀναστῇ	should rise,
ἐκ	out from
νεκρῶν	[the] dead
δὲ	then
Εἶπεν	He said
πρὸς	to
αὐτοῦ	of Him,
τοὺς	the
μαθητὰς	disciples
ἐστιν	it is
“Ἀνένδεκτόν	Impossible
μὴ	not
τοῦ	for
τὰ	the
σκάνδαλα	stumbling blocks
ἐλθεῖν,	to come,
πλὴν*	but
οὐαὶ	woe [to him]
δι’	by
οὗ	whom
ἔρχεται·	they come!
λυσιτελεῖ	It is better
αὐτῷ	for him
εἰ	if
λίθος	a stone
μυλικὸς	of a mill
περίκειται	is hung
περὶ	around
αὐτοῦ	of him
τὸν	the
τράχηλον	neck
καὶ	and
ἔρριπται	he is thrown
εἰς	into
τὴν	the
θάλασσαν,	sea,
ἢ	than
ἵνα	that
ἕνα.	one.
τούτων	of these
τῶν	-
μικρῶν	little
σκανδαλίσῃ	he should cause to stumble
Προσέχετε	Take heed
ἑαυτοῖς.	to yourselves.
ἐὰν	If
σου,	of you,
ὁ	the
ἀδελφός	brother
ἁμάρτῃ	should sin
ἐπιτίμησον	rebuke
αὐτῷ,	him;
καὶ	and
ἐὰν	if
μετανοήσῃ,	he should repent,
ἄφες	forgive
αὐτῷ.	him.
καὶ	And
ἐὰν	if
ἁμαρτήσῃ	he should sin
εἰς	against
σὲ	you,
ἑπτάκις	seven times
τῆς	in the
ἡμέρας	day
καὶ	and
ἑπτάκις	seven times
ἐπιστρέψῃ	should return
πρὸς	to
σὲ	you,
λέγων	saying
‘Μετανοῶ,	I repent,
ἀφήσεις	you shall forgive
αὐτῷ.	him.
Καὶ	And
οἱ	the
ἀπόστολοι	apostles
εἶπαν	said
τῷ	to the
Κυρίῳ	Lord,
“Πρόσθες	Add
ἡμῖν	to us
πίστιν.	faith!
δὲ	then
ὁ	the
Κύριος	Lord,
Εἶπεν	Said
“Εἰ	If
ἔχετε	you have
πίστιν	faith
ὡς	like
κόκκον	a grain
σινάπεως,	of mustard,
ἂν	-
ἐλέγετε	you would have said
ταύτῃ	this,
τῇ	to the
συκαμίνῳ	mulberry tree
‘Ἐκριζώθητι	Be uprooted
καὶ	and
φυτεύθητι	be planted
ἐν	in
τῇ	the
θαλάσσῃ·	sea,
καὶ	and
ἂν	-
ὑπήκουσεν	it would have obeyed
ὑμῖν.	you.
δὲ	now
Τίς	Which
ἐξ	of
ὑμῶν	you
ἔχων	having,
δοῦλον	a servant
εἰσελθόντι	having come in
ἐκ	out of
ἀροτριῶντα	plowing
ἢ	or
ποιμαίνοντα,	shepherding,
τοῦ	the
ἀγροῦ	field,
ἐρεῖ	will say
αὐτῷ	to him,
ὃς	the [one]
παρελθὼν	having come,
‘Εὐθέως	Immediately
ἀνάπεσε,	recline?
ἀλλ’	But
οὐχὶ	not
ἐρεῖ	will he say
αὐτῷ	to him,
‘Ἑτοίμασον	Prepare
τί	what
δειπνήσω,	I may eat,
καὶ	and
περιζωσάμενος	having girded yourself about,
διακόνει	serve
μοι	me
ἕως	while
φάγω	I eat
καὶ	and
πίω,	drink;
καὶ	and
μετὰ	after
ταῦτα	these things
σύ;’	you?’
φάγεσαι	shall eat
καὶ	and
πίεσαι	drink
ἔχει	is he
